region,country_name,year,forest_area_sqkm,total_area_sqkm,forest_percentage,income_group
South Asia,Afghanistan,1990,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1991,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1992,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1993,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1994,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1995,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1996,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1997,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1998,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,1999,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2000,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2001,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2002,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2003,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2004,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2005,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2006,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2007,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2008,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2009,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2010,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2011,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2012,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2013,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2014,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2015,13500,652860.005,2.06782463263315,Low income
South Asia,Afghanistan,2016,13500,652860.005,2.06782463263315,Low income
Europe & Central Asia,Albania,1990,7887.999878,27399.9985,28.7883222986308,Upper middle income
Europe & Central Asia,Albania,1991,7868.499756,27399.9985,28.7171539662676,Upper middle income
Europe & Central Asia,Albania,1992,7849.000244,27399.9985,28.6459878601818,Upper middle income
Europe & Central Asia,Albania,1993,7829.500122,27399.9985,28.5748195278186,Upper middle income
Europe & Central Asia,Albania,1994,7810,27399.9985,28.5036511954554,Upper middle income
Europe & Central Asia,Albania,1995,7790.499878,27399.9985,28.4324828630921,Upper middle income
Europe & Central Asia,Albania,1996,7770.999756,27399.9985,28.3613145307289,Upper middle income
Europe & Central Asia,Albania,1997,7751.500244,27399.9985,28.2901484246432,Upper middle income
Europe & Central Asia,Albania,1998,7732.000122,27399.9985,28.2189800922799,Upper middle income
Europe & Central Asia,Albania,1999,7712.5,27399.9985,28.1478117599167,Upper middle income
Europe & Central Asia,Albania,2000,7692.999878,27399.9985,28.0766434275535,Upper middle income
Europe & Central Asia,Albania,2001,7719.199829,27399.9985,28.1722636919122,Upper middle income
Europe & Central Asia,Albania,2002,7745.39978,27399.9985,28.267883956271,Upper middle income
Europe & Central Asia,Albania,2003,7771.599731,27399.9985,28.3635042206298,Upper middle income
Europe & Central Asia,Albania,2004,7797.800293,27399.9985,28.4591267149157,Upper middle income
Europe & Central Asia,Albania,2005,7824.000244,27399.9985,28.5547469792745,Upper middle income
Europe & Central Asia,Albania,2006,7811.799927,27399.9985,28.5102202724573,Upper middle income
Europe & Central Asia,Albania,2007,7799.60022,27399.9985,28.4656957919177,Upper middle income
Europe & Central Asia,Albania,2008,7787.399902,27399.9985,28.4211690814509,Upper middle income
Europe & Central Asia,Albania,2009,7775.200195,27399.9985,28.3766446009112,Upper middle income
Europe & Central Asia,Albania,2010,7762.999878,27399.9985,28.332117894094,Upper middle income
Europe & Central Asia,Albania,2011,7753.400269,27399.9985,28.297082822833,Upper middle income
Europe & Central Asia,Albania,2012,7743.800049,27399.9985,28.2620455216448,Upper middle income
Europe & Central Asia,Albania,2013,7734.199829,27399.9985,28.2270082204567,Upper middle income
Europe & Central Asia,Albania,2014,7724.60022,27399.9985,28.1919731491956,Upper middle income
Europe & Central Asia,Albania,2015,7715,27399.9985,28.1569358480074,Upper middle income
Europe & Central Asia,Albania,2016,7705.39978,27399.9985,28.1218985468193,Upper middle income
Middle East & North Africa,Algeria,1990,16670,2381739.9907,0.69990847301097,Upper middle income
Middle East & North Africa,Algeria,1991,16581.99951,2381739.9907,0.696213674655835,Upper middle income
Middle East & North Africa,Algeria,1992,16494.00024,2381739.9907,0.692518927523754,Upper middle income
Middle East & North Africa,Algeria,1993,16405.99976,2381739.9907,0.688824129588479,Upper middle income
Middle East & North Africa,Algeria,1994,16318.00049,2381739.9907,0.685129382456399,Upper middle income
Middle East & North Africa,Algeria,1995,16230,2381739.9907,0.681434584101263,Upper middle income
Middle East & North Africa,Algeria,1996,16141.99951,2381739.9907,0.677739785746127,Upper middle income
Middle East & North Africa,Algeria,1997,16054.00024,2381739.9907,0.674045038614046,Upper middle income
Middle East & North Africa,Algeria,1998,15965.99976,2381739.9907,0.670350240678772,Upper middle income
Middle East & North Africa,Algeria,1999,15878.00049,2381739.9907,0.666655493546691,Upper middle income
Middle East & North Africa,Algeria,2000,15790,2381739.9907,0.662960695191555,Upper middle income
